City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Abington,"16,448",23,4,5,3,11,153,23,122,8,1
Acton,"23,780",32,0,6,2,24,66,13,50,3,0
Acushnet,"10,533",12,0,5,0,7,35,14,19,2,0
Adams,"8,028",26,0,10,2,14,94,34,59,1,2
Agawam,"28,736",82,0,13,8,61,376,133,228,15,1
Amesbury,"17,595",25,0,3,3,19,132,18,107,7,0
Amherst,"39,603",99,0,28,2,69,173,55,103,15,2
Andover,"36,547",8,0,6,1,1,215,28,180,7,0
Aquinnah,328,2,0,0,0,2,0,0,0,0,0
Arlington,"45,614",34,0,5,8,21,167,16,139,12,3
Ashburnham,"6,330",8,0,2,0,6,28,7,18,3,0
Ashland,"17,742",21,0,4,1,16,77,9,60,8,0
Athol,"11,679",47,1,7,2,37,101,9,88,4,1
Attleboro,"44,959",123,0,27,14,82,522,69,427,26,1
Auburn,"16,724",28,0,0,1,27,305,29,263,13,3
Avon3,"4,504",10,0,1,2,7,111,9,98,4,
Ayer,"8,192",14,0,1,1,12,57,14,40,3,0
Barnstable,"44,032",178,2,22,14,140,425,61,350,14,7
Barre,"5,573",16,0,1,1,14,18,1,10,7,0
Becket3,"1,724",3,0,0,0,3,4,1,3,0,0
Bedford,"14,193",7,0,0,1,6,40,2,37,1,0
Belchertown,"15,195",16,0,1,1,14,55,12,38,5,0
Bellingham,"17,143",25,0,3,2,20,194,16,170,8,2
Belmont,"26,331",6,0,1,0,5,179,76,98,5,2
Berkley,"6,799",8,0,2,0,6,19,9,9,1,0
Berlin,"3,241",4,0,2,1,1,31,4,26,1,0
Bernardston,"2,113",5,0,3,0,2,12,3,9,0,0
Beverly,"42,317",47,0,4,2,41,206,19,177,10,1
Billerica,"43,882",22,0,2,2,18,169,21,135,13,0
Blackstone,"9,294",13,0,1,2,10,21,5,12,4,0
Bolton,"5,393",2,0,0,0,2,25,2,23,0,0
"Boston3,4","698,941","4,244",42,231,"1,039","2,932",,"1,703","10,590",,
Bourne,"19,734",54,0,13,2,39,213,43,157,13,0
Boxborough,"6,540",4,0,0,0,4,26,1,21,4,0
Boxford,"8,352",0,0,0,0,0,13,2,11,0,0
Boylston,"4,694",4,0,0,0,4,2,0,2,0,0
Braintree,"37,145",45,0,3,4,38,486,52,417,17,1
Brewster,"9,725",25,0,4,0,21,38,9,28,1,0
Bridgewater,"27,270",59,0,4,3,52,95,23,62,10,0
Brockton,"95,287",782,5,63,148,566,"1,853",248,"1,317",288,16
Brookfield,"3,440",6,0,2,1,3,26,4,20,2,0
Brookline,"58,928",57,1,2,14,40,503,44,453,6,0
